ts_scrape,regione,provincia,ospedale,codice,in_attesa,in_trattamento
2026-09-10T08:05:48+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T08:05:48+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,12,50
2026-09-10T11:29:01+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T11:29:01+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,0,13
2026-09-10T11:29:01+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,6,44
2026-09-10T11:29:01+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,5,3
2026-09-10T11:29:01+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T11:29:01+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,11,64
2026-09-10T11:37:47+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T11:37:47+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,0,13
2026-09-10T11:37:47+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,8,44
2026-09-10T11:37:47+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,2,5
2026-09-10T11:37:47+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T11:37:47+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,10,66
2026-09-10T11:43:34+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T11:43:34+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,0,13
2026-09-10T11:43:34+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,8,44
2026-09-10T11:43:34+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,3,6
2026-09-10T11:43:34+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T11:43:34+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,11,67
2026-09-10T11:53:38+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T11:53:38+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,1,13
2026-09-10T11:53:38+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,9,45
2026-09-10T11:53:38+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,2,5
2026-09-10T11:53:38+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T11:53:38+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,12,67
2026-09-10T12:08:58+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
